msoa_code;msoa_name;house_prices;average_income;population_density
E02000001;City of London 001;595000;59728;26,2
E02000002;Barking and Dagenham 001;190000;31788;31,7
E02000003;Barking and Dagenham 002;237000;43357;47,7
E02000004;Barking and Dagenham 003;210000;46701;25,3
E02000005;Barking and Dagenham 004;180000;34294;72,9
E02000007;Barking and Dagenham 006;168500;29976;52,3
E02000008;Barking and Dagenham 007;175750;31413;81,9
E02000009;Barking and Dagenham 008;176995;32139;92,3
E02000010;Barking and Dagenham 009;174000;31811;79,0
E02000011;Barking and Dagenham 010;203250;39012;39,6
E02000012;Barking and Dagenham 011;265000;50190;77,3
E02000013;Barking and Dagenham 012;176500;31976;64,9
E02000014;Barking and Dagenham 013;172500;31469;79,6
E02000015;Barking and Dagenham 014;140000;28786;56,3
E02000016;Barking and Dagenham 015;145000;31501;92,8
E02000017;Barking and Dagenham 016;208000;40525;99,6
E02000018;Barking and Dagenham 017;175000;31246;66,5
E02000019;Barking and Dagenham 018;172000;34810;28,0
E02000020;Barking and Dagenham 019;195000;32714;28,3
E02000021;Barking and Dagenham 020;170000;33542;28,5
E02000022;Barking and Dagenham 021;135000;25819;119,6
E02000023;Barking and Dagenham 022;190000;28381;37,4
E02006799;Barking and Dagenham 023;180000;32466;88,0
E02000024;Barnet 001;379000;57048;27,8
E02000025;Barnet 002;327500;41882;33,6
E02000026;Barnet 003;397473;50617;44,0
E02000027;Barnet 004;332500;35266;58,2
E02000028;Barnet 005;355000;50631;59,5
E02000029;Barnet 006;275000;40212;51,3
E02000030;Barnet 007;647975;60082;6,3
E02000031;Barnet 008;381250;55167;38,4
E02000032;Barnet 009;458000;53473;56,5
E02000033;Barnet 010;340000;37979;48,8
E02000034;Barnet 011;283500;41756;55,7
E02000035;Barnet 012;390000;45995;62,8
E02000036;Barnet 013;325000;40153;60,6
E02000037;Barnet 014;427500;47245;23,2
E02000038;Barnet 015;415000;43264;61,6
E02000039;Barnet 016;430000;58612;31,6
E02000040;Barnet 017;470000;40961;14,0
E02000041;Barnet 018;362500;39331;67,8
E02000042;Barnet 019;323000;41016;90,1
E02000043;Barnet 020;617500;66208;53,3
E02000044;Barnet 021;250000;33715;73,9
E02000045;Barnet 022;295500;37174;60,3
E02000046;Barnet 023;365500;48274;74,8
E02000047;Barnet 024;241750;29015;80,9
E02000048;Barnet 025;398475;52947;32,3
E02000049;Barnet 026;218000;24842;110,3
E02000050;Barnet 027;300000;38819;48,5
E02000051;Barnet 028;546250;54826;60,9
E02000052;Barnet 029;388025;47800;103,0
E02000053;Barnet 030;253500;33197;60,3
E02000054;Barnet 031;339000;41449;49,0
E02000055;Barnet 032;340000;40399;79,2
E02000056;Barnet 033;992500;82086;28,6
E02000057;Barnet 034;485000;47910;69,2
E02000058;Barnet 035;622500;63229;57,8
E02000059;Barnet 036;249950;31014;48,4
E02000060;Barnet 037;600000;51681;90,9
E02000061;Barnet 038;895500;62825;51,8
E02000062;Barnet 039;305000;30444;35,3
E02000063;Barnet 040;335000;36256;69,0
E02000064;Barnet 041;404975;36552;81,0
E02000065;Bexley 001;162000;33469;24,8
E02000066;Bexley 002;136750;27895;61,5
E02000067;Bexley 003;146950;32432;38,8
E02000068;Bexley 004;161500;32275;33,0
E02000069;Bexley 005;195000;36125;42,9
E02000070;Bexley 006;243250;41498;42,5
E02000071;Bexley 007;218750;36942;62,8
E02000072;Bexley 008;162250;28171;27,3
E02000073;Bexley 009;250000;47654;66,9
E02000074;Bexley 010;161500;30794;68,8
E02000075;Bexley 011;260000;48026;51,6
E02000077;Bexley 013;233000;39277;70,6
E02000078;Bexley 014;225000;45398;52,1
E02000079;Bexley 015;232000;46634;47,5
E02000080;Bexley 016;240000;40735;55,3
E02000081;Bexley 017;240000;39810;34,1
E02000082;Bexley 018;246000;44882;60,0
E02000083;Bexley 019;190000;36051;26,8
E02000084;Bexley 020;271500;51286;40,8
E02000085;Bexley 021;223000;41593;49,2
E02000086;Bexley 022;250000;51001;49,9
E02000087;Bexley 023;285000;59764;20,4
E02000088;Bexley 024;277000;49885;38,8
E02000089;Bexley 025;300000;52582;57,4
E02000090;Bexley 026;195000;46213;49,1
E02000091;Bexley 027;250000;46622;36,0
E02000092;Bexley 028;197000;33727;11,0
E02006785;Bexley 029;230000;36787;47,4
E02000093;Brent 001;340000;41647;79,0
E02000094;Brent 002;345000;38184;75,6
E02000095;Brent 003;380000;41507;63,7
E02000096;Brent 004;472500;63575;45,1
E02000097;Brent 005;300000;37558;48,1
E02000098;Brent 006;425000;46021;43,3
E02000099;Brent 007;268000;43408;67,2
E02000100;Brent 008;408000;60361;40,3
E02000101;Brent 009;251500;34454;67,6
E02000102;Brent 010;250000;29459;57,3
E02000103;Brent 011;305000;33334;49,5
E02000104;Brent 012;312500;40816;61,2
E02000105;Brent 013;250000;37661;68,9
E02000106;Brent 014;250000;30371;77,6
E02000107;Brent 015;348750;38314;115,6
E02000108;Brent 016;265000;35668;80,9
E02000109;Brent 017;253500;35108;51,9
E02000110;Brent 018;550000;45444;104,2
E02000111;Brent 019;240000;33767;89,3
E02000112;Brent 020;282500;32604;75,0
E02000113;Brent 021;218500;25015;66,2
E02000114;Brent 022;360000;35578;150,2
E02000115;Brent 023;440000;47505;98,9
E02000116;Brent 024;280000;28724;78,0
E02000117;Brent 025;250000;26207;136,7
E02000118;Brent 026;225998;30986;78,7
E02000119;Brent 027;249999;26824;29,5
E02000120;Brent 028;421500;45668;184,8
E02000121;Brent 029;227500;32818;67,1
E02000122;Brent 030;716000;58838;66,6
E02000123;Brent 031;305000;28685;144,2
E02000124;Brent 032;500000;52930;93,1
E02000125;Brent 033;474450;46389;141,4
E02000126;Brent 034;350000;27488;168,8
E02000127;Bromley 001;206000;33664;38,9
E02000128;Bromley 002;315000;48167;28,7
E02000130;Bromley 004;316992;44359;54,3
E02000131;Bromley 005;240000;38718;52,2
E02000132;Bromley 006;250000;46812;51,3
E02000133;Bromley 007;405000;78281;16,3
E02000134;Bromley 008;247500;46642;56,6
E02000135;Bromley 009;178000;29324;86,1
